Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/es/lbt-17x4-region-fm/agg/emd,26,0,230.0,493.6745112307689,61.949417000001006,2992.66625,209550.88461538462,0.4414204418128195,0.0,230,340,360,520,1600,1600,3000,3000,3000,3000,3000
GET,/api/es/lbt-17x4-region-fm/agg/sd,26,0,150.0,285.1928733846155,77.6218749999984,2639.624167,1720.6923076923076,0.4414204418128195,0.0,160,190,220,230,470,670,2600,2600,2600,2600,2600
GET,/api/es/lbt-17x4-region-fm/agg/sgg,27,0,180.0,463.09824214814813,63.59562500000138,2641.41825,16565.444444444445,0.45839815111331256,0.0,180,200,270,290,2600,2600,2600,2600,2600,2600,2600
,Aggregated,79,0,180.0,414.6101840253163,61.949417000001006,2992.66625,75194.02531645569,1.3412390347389516,0.0,180,230,290,360,1400,2600,2600,3000,3000,3000,3000
