Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/es/lbt-4x4-fm/agg/emd,51,0,380.0,800.8244060392157,50.528540999998484,3606.7314160000005,258817.86274509804,0.86532600519857,0.0,380,540,680,840,2800,3100,3200,3600,3600,3600,3600
GET,/api/es/lbt-4x4-fm/agg/sd,49,0,200.0,461.53831204081575,45.10829200000188,2746.292,1594.204081632653,0.831391652053528,0.0,200,320,410,420,1700,2500,2700,2700,2700,2700,2700
GET,/api/es/lbt-4x4-fm/agg/sgg,49,0,290.0,693.113953183673,40.269541999997216,5108.712667000001,18785.20408163265,0.831391652053528,0.0,290,420,570,760,2600,2600,5100,5100,5100,5100,5100
,Aggregated,149,0,250.0,653.8255416375839,40.269541999997216,5108.712667000001,95290.61744966442,2.528109309305626,0.0,250,410,570,750,2600,2700,3200,3600,5100,5100,5100
