Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/es/lbt-17x4-region-fm/agg/emd,50,0,260.0,386.3312700000001,47.7912910000029,1419.2837500000053,195318.54,0.8460102908381443,0.0,290,380,490,540,1300,1400,1400,1400,1400,1400,1400
GET,/api/es/lbt-17x4-region-fm/agg/sd,53,0,170.0,315.8268876037734,42.62079099999738,1390.279459,1574.6603773584907,0.896770908288433,0.0,170,240,330,410,760,1300,1400,1400,1400,1400,1400
GET,/api/es/lbt-17x4-region-fm/agg/sgg,54,0,210.0,290.57452624074114,56.03220799999775,1499.441708,16931.185185185186,0.9136911141051959,0.0,210,260,310,410,510,1100,1300,1500,1500,1500,1500
,Aggregated,157,0,210.0,329.59498700636965,42.62079099999738,1499.441708,68558.3949044586,2.656472313231773,0.0,210,310,380,450,750,1300,1400,1400,1500,1500,1500
