Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/es/lbt-2x3-fm/agg/emd,55,0,270.0,437.83836063636323,46.15945899999474,1545.5558330000017,224541.0909090909,0.9334164535866868,0.0,270,470,510,890,1100,1300,1300,1500,1500,1500,1500
GET,/api/es/lbt-2x3-fm/agg/sd,51,0,140.0,276.2948921960786,46.57529199999999,1727.7406669999991,1503.4313725490197,0.8655316205985641,0.0,140,200,270,330,600,1100,1400,1700,1700,1700,1700
GET,/api/es/lbt-2x3-fm/agg/sgg,51,0,160.0,325.47763725490216,32.2772920000034,1178.7036670000007,18254.607843137255,0.8655316205985641,0.0,160,290,420,600,920,1100,1100,1200,1200,1200,1200
,Aggregated,157,0,190.0,348.8631136114653,32.2772920000034,1727.7406669999991,85079.10828025478,2.664479694783815,0.0,190,310,390,540,990,1100,1300,1500,1700,1700,1700
