Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/es/lbt-4x4-fm/agg/emd,111,0,5100.0,4814.111571342343,356.7125420000039,7924.576209000002,256248.3063063063,1.8781885109388965,0.0,5100,5600,5800,5900,6400,7100,7100,7200,7900,7900,7900
GET,/api/es/lbt-4x4-fm/agg/sd,114,0,5000.0,4537.219796412279,129.51583299999925,7866.032624999999,1437.0438596491229,1.9289503625858937,0.0,5000,5500,6100,6200,6600,6900,7200,7600,7900,7900,7900
GET,/api/es/lbt-4x4-fm/agg/sgg,111,0,5200.0,4602.2275990810795,134.32266699999929,8277.202584,19927.27927927928,1.8781885109388965,0.0,5200,5800,6000,6100,6500,6800,7600,7800,8300,8300,8300
,Aggregated,336,0,5100.0,4650.168764011898,129.51583299999925,8277.202584,91724.14583333333,5.685327384463687,0.0,5100,5600,5900,6100,6600,7000,7200,7800,8300,8300,8300
