Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/es/lbt-17x4-region-fm/agg/emd,114,0,2000.0,2059.9847785263164,55.54649999999839,5281.420375,258324.99122807017,1.9428129298693724,0.0,2000,2600,3000,3200,3800,4300,4500,5000,5300,5300,5300
GET,/api/es/lbt-17x4-region-fm/agg/sd,112,0,1800.0,1825.5201487857155,108.58920799999794,4645.023625000001,1535.169642857143,1.908728492503243,0.0,1800,2300,2500,2600,3600,4100,4400,4600,4600,4600,4600
GET,/api/es/lbt-17x4-region-fm/agg/sgg,109,0,1500.0,1667.8895259724773,67.39566699999955,4880.484459,19228.54128440367,1.8576018364540492,0.0,1500,2100,2300,2500,3200,4200,4400,4900,4900,4900,4900
,Aggregated,335,0,1800.0,1854.0193425283562,55.54649999999839,5281.420375,94677.31044776119,5.709143258826665,0.0,1800,2300,2600,2800,3700,4200,4500,4900,5300,5300,5300
