Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/es/lbt-2x3-fm/agg/emd,143,0,3400.0,3620.4983478601416,112.80795799999765,7910.525999999997,225217.53146853147,2.4199352200976527,0.0,3400,4400,5000,5200,6500,7100,7700,7800,7900,7900,7900
GET,/api/es/lbt-2x3-fm/agg/sd,138,0,3200.0,3430.5478927971003,48.202917000004675,6896.604458999996,1571.8840579710145,2.3353221005138187,0.0,3200,4300,5000,5400,6100,6600,6900,6900,6900,6900,6900
GET,/api/es/lbt-2x3-fm/agg/sgg,137,0,3400.0,3391.974017043795,89.61383400000145,7458.145584000001,18113.0,2.318399476597052,0.0,3400,4200,4800,5300,6200,6900,7000,7400,7500,7500,7500
,Aggregated,418,0,3300.0,3482.888309294259,48.202917000004675,7910.525999999997,83503.60765550239,7.073656797208523,0.0,3300,4300,4900,5300,6300,6800,7400,7600,7900,7900,7900
