Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_17x4_region_nofm_*/_search [emd],146,0,680.0,846.9575690205482,36.9331250000009,3273.4676669999985,323277.5479452055,2.472596846310425,0.0,690,970,1300,1600,2000,2200,2800,2900,3300,3300,3300
POST,/lbt_17x4_region_nofm_*/_search [sd],143,0,400.0,600.5669758111889,23.866416000000612,2803.883291999998,1888.7482517482517,2.421790061797197,0.0,400,580,870,1000,1500,1800,2100,2600,2800,2800,2800
POST,/lbt_17x4_region_nofm_*/_search [sgg],142,0,480.0,722.5214876619724,14.476874999999723,3012.6847500000017,20950.443661971833,2.4048544669594545,0.0,490,830,1200,1400,1800,2100,2800,2900,3000,3000,3000
,Aggregated,431,0,490.0,724.2109834477953,14.476874999999723,3273.4676669999985,117038.45939675174,7.299241375067076,0.0,490,810,1100,1300,1800,2000,2500,2800,3300,3300,3300
