Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_1x16_fm/_search [emd],26,0,140.0,240.4523061538463,41.56120800000096,1877.438833,261922.07692307694,0.4396343405921333,0.0,150,190,200,210,430,590,1900,1900,1900,1900,1900
POST,/lbt_1x16_fm/_search [sd],26,0,120.0,282.3803494615386,12.034708000001615,1716.035042,1943.9615384615386,0.4396343405921333,0.0,120,180,190,350,670,1700,1700,1700,1700,1700,1700
POST,/lbt_1x16_fm/_search [sgg],25,0,160.0,331.1969682799998,17.91820899999763,1682.953167,22407.88,0.42272532749243585,0.0,160,360,450,470,590,1700,1700,1700,1700,1700,1700
,Aggregated,77,0,140.0,284.07237990909096,12.034708000001615,1877.438833,96372.90909090909,1.3019940086767026,0.0,140,190,350,400,590,1700,1700,1900,1900,1900,1900
