Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_2x3_nofm_*/_search [emd],53,0,140.0,316.28850941509427,14.696832999995024,1816.395667,274717.6037735849,0.9015897908766823,0.0,140,200,280,470,910,1300,1400,1800,1800,1800,1800
POST,/lbt_2x3_nofm_*/_search [sd],52,0,92,177.74059132692304,29.195041999997784,1077.8092080000001,2018.2307692307693,0.8845786627469335,0.0,95,130,160,170,280,1000,1000,1100,1100,1100,1100
POST,/lbt_2x3_nofm_*/_search [sgg],55,0,110.0,271.70549923636395,21.541500000001435,1050.339209,21543.072727272727,0.9356120471361797,0.0,110,180,300,480,1000,1000,1000,1100,1100,1100,1100
,Aggregated,160,0,120.0,255.93502628750002,14.696832999995024,1816.395667,99061.5625,2.7217805007597957,0.0,120,170,270,300,900,1000,1200,1400,1800,1800,1800
