Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_17x4_region_fm_*/_search [emd],256,0,220.0,395.8463821445315,8.202333999999922,3082.9034160000006,269457.1015625,4.327961039565334,0.0,230,350,450,540,850,1600,2700,2900,3100,3100,3100
POST,/lbt_17x4_region_fm_*/_search [sd],258,0,190.0,336.9698869573648,5.606042000003697,2851.4518329999987,1914.6511627906978,4.361773235186938,0.0,190,360,430,490,770,1100,1700,2100,2900,2900,2900
POST,/lbt_17x4_region_fm_*/_search [sgg],256,0,240.0,360.4416250078123,5.519166000006237,3098.5381249999973,22342.0703125,4.327961039565334,0.0,240,370,450,530,890,1100,2200,2400,3100,3100,3100
,Aggregated,770,0,220.0,364.3480008649357,5.519166000006237,3098.5381249999973,97655.28311688312,13.017695314317606,0.0,220,360,440,530,790,1300,2300,2700,3100,3100,3100
