Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_1x16_nofm/_search [emd],171,0,1200.0,2189.606139128655,13.635832999998598,8622.694209,287020.7543859649,2.891895033626013,0.0,1200,2000,3000,4500,5600,7500,8200,8400,8600,8600,8600
POST,/lbt_1x16_nofm/_search [sd],176,0,1100.0,1767.025164829545,22.221124999997954,7931.157209000002,1945.0113636363637,2.976453367942563,0.0,1100,1600,2200,2400,5300,6100,7600,7800,7900,7900,7900
POST,/lbt_1x16_nofm/_search [sgg],172,0,1200.0,1983.5794522674419,32.946000000002584,7938.056249999999,22116.081395348836,2.908806700489323,0.0,1200,1700,2300,2800,5500,7200,7700,7800,7900,7900,7900
,Aggregated,519,0,1200.0,1978.0245560520234,13.635832999998598,8622.694209,102556.5260115607,8.777155102057899,0.0,1200,1800,2300,3900,5500,7200,7800,7900,8600,8600,8600
