Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_1x16_fm/_search [emd],203,0,210.0,414.2901753054187,6.287958999998011,2764.4491249999987,254754.99507389162,3.428589795361429,0.0,210,350,580,760,1100,1400,1800,2100,2800,2800,2800
POST,/lbt_1x16_fm/_search [sd],197,0,200.0,459.5231234873098,6.59841700000019,2923.5238750000008,1786.8680203045685,3.327252165941879,0.0,200,420,690,890,1300,1600,2300,2500,2900,2900,2900
POST,/lbt_1x16_fm/_search [sgg],197,0,200.0,452.00891264467043,6.812082999999802,2870.11725,21355.350253807108,3.327252165941879,0.0,200,360,670,870,1400,1600,2200,2800,2900,2900,2900
,Aggregated,597,0,200.0,441.66284205192636,6.287958999998011,2923.5238750000008,94261.77721943049,10.083094127245186,0.0,200,360,670,830,1300,1600,2100,2500,2900,2900,2900
