Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_2x3_nofm_*/_search [emd],105,0,150.0,334.11990835238134,21.565833000000367,2310.034291000001,298986.1238095238,1.7965387970794982,0.0,150,280,440,560,870,1200,1500,1900,2300,2300,2300
POST,/lbt_2x3_nofm_*/_search [sd],106,0,130.0,283.93804831132104,20.45808300000118,1945.1822079999986,1908.5188679245282,1.8136486903850173,0.0,130,250,410,520,700,970,1400,1500,1900,1900,1900
POST,/lbt_2x3_nofm_*/_search [sgg],104,0,150.0,349.7865725096153,9.976208000001208,2183.5578330000017,22625.30769230769,1.7794289037739792,0.0,160,260,460,550,850,1200,2100,2100,2200,2200,2200
,Aggregated,315,0,140.0,322.4058001238097,9.976208000001208,2310.034291000001,107774.21587301587,5.389616391238495,0.0,140,270,440,540,770,1100,1900,2100,2300,2300,2300
