Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_1x16_nofm/_search [emd],26,0,170.0,376.7267674999994,33.53308300000002,1051.82575,288018.96153846156,0.4430049078765137,0.0,200,370,750,820,1000,1100,1100,1100,1100,1100,1100
POST,/lbt_1x16_nofm/_search [sd],28,0,140.0,247.7501607499997,25.619374999999778,1046.1169579999998,2030.1785714285713,0.47708220848239935,0.0,160,240,320,330,660,1000,1000,1000,1000,1000,1000
POST,/lbt_1x16_nofm/_search [sgg],26,0,88,169.77784769230846,45.71958300000034,776.2628750000005,19876.0,0.4430049078765137,0.0,100,140,180,250,430,480,780,780,780,780,780
,Aggregated,80,0,140.0,264.32655619999986,25.619374999999778,1051.82575,100776.425,1.3630920242354267,0.0,140,220,330,410,820,1000,1100,1100,1100,1100,1100
