Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_2x3_fm_*/_search [emd],112,0,77,160.56806141964307,4.398999999999376,1004.828958000001,289061.3035714286,1.8944855132962835,0.0,77,120,180,220,390,750,810,950,1000,1000,1000
POST,/lbt_2x3_fm_*/_search [sd],111,0,70,139.78608185585583,6.114084000003572,1175.8047500000011,1920.6666666666667,1.8775704640704238,0.0,70,100,140,190,420,560,580,840,1200,1200,1200
POST,/lbt_2x3_fm_*/_search [sgg],115,0,71,148.59852144347806,4.601250000000334,925.4902919999993,18916.965217391305,1.9452306609738625,0.0,71,100,150,200,500,660,900,910,930,930,930
,Aggregated,338,0,75,149.67073352366853,4.398999999999376,1175.8047500000011,102850.62426035503,5.71728663834057,0.0,75,110,160,200,490,640,840,930,1200,1200,1200
