Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_17x4_region_fm_*/_search [emd],220,0,83,156.65654693636375,8.747708999997883,888.3340830000002,304132.0,3.7186201849836333,0.0,83,130,220,260,390,630,760,800,890,890,890
POST,/lbt_17x4_region_fm_*/_search [sd],220,0,62,121.13277723181807,6.684124999999597,705.0262079999995,1981.8272727272727,3.7186201849836333,0.0,62,99,180,220,330,440,530,600,710,710,710
POST,/lbt_17x4_region_fm_*/_search [sgg],222,0,51,118.37680142792807,7.306583000001865,879.4706249999997,19788.702702702703,3.7524258230289393,0.0,53,96,140,190,340,460,530,620,880,880,880
,Aggregated,662,0,66,132.01405020241697,6.684124999999597,888.3340830000002,108365.76132930514,11.189666192996206,0.0,67,110,170,230,350,500,630,730,890,890,890
