Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_17x4_region_nofm_*/_search [emd],164,0,760.0,1306.0606593475609,17.810666000000808,5013.345584,268579.243902439,2.773503379235473,0.0,780,1300,2300,2700,3400,3800,4300,4700,5000,5000,5000
POST,/lbt_17x4_region_nofm_*/_search [sd],160,0,990.0,1459.7154648125,9.755374999997457,5496.378417000003,1901.125,2.705856955351681,0.0,1000,2000,2500,2600,3300,4000,4800,5300,5500,5500,5500
POST,/lbt_17x4_region_nofm_*/_search [sgg],162,0,630.0,1173.7562648950616,28.122875000001102,5597.391166999998,20562.765432098764,2.739680167293577,0.0,640,1100,1900,2200,3300,3800,4500,4800,5600,5600,5600
,Aggregated,486,0,780.0,1312.5451387160488,9.755374999997457,5597.391166999998,98111.81893004115,8.219040501880732,0.0,780,1400,2300,2600,3400,3800,4600,4800,5600,5600,5600
