Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_2x3_fm_*/_search [emd],157,0,130.0,243.2287146369426,9.5148750000007,1423.348666999999,319634.6942675159,2.728783363478979,0.0,130,220,330,380,590,860,950,1200,1400,1400,1400
POST,/lbt_2x3_fm_*/_search [sd],155,0,96,141.73811129677418,5.864166999998588,810.236291999999,1958.5612903225806,2.6940217919696927,0.0,96,130,180,230,320,500,540,610,810,810,810
POST,/lbt_2x3_fm_*/_search [sgg],156,0,98,185.32218691666674,7.859917000004657,1157.160667000003,20339.641025641027,2.711402577724336,0.0,100,170,250,310,500,640,760,900,1200,1200,1200
,Aggregated,468,0,110.0,190.31319788034193,5.864166999998588,1423.348666999999,114656.42735042734,8.134207733173007,0.0,110,170,250,300,500,640,860,950,1400,1400,1400
