Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_17x4_region_nofm_*/_search [emd],162,0,2100.0,2490.844353376543,91.69020800000283,8765.111083999998,294154.0925925926,2.7355700841356274,0.0,2100,2600,3600,3900,4700,6300,7800,8400,8800,8800,8800
POST,/lbt_17x4_region_nofm_*/_search [sd],173,0,2100.0,2419.7789807225427,66.8304589999984,7998.127416999999,1826.7456647398844,2.921318670095454,0.0,2100,2500,3100,3600,4900,7500,7800,7900,8000,8000,8000
POST,/lbt_17x4_region_nofm_*/_search [sgg],166,0,1900.0,2188.36040836747,29.439625000001968,7652.888708999999,21960.692771084337,2.803115024484655,0.0,2000,2300,2900,3400,4700,6200,6900,7500,7700,7700,7700
,Aggregated,501,0,2000.0,2366.080592217566,29.439625000001968,8765.111083999998,103022.88423153693,8.460003778715736,0.0,2000,2500,3300,3600,4800,6700,7600,7800,8800,8800,8800
