Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/lbt_1x16_fm/_search [emd],56,0,130.0,232.450794732143,19.698916999999483,1242.5388750000002,306615.6964285714,0.9470820265062216,0.0,130,180,290,310,470,1100,1100,1200,1200,1200,1200
POST,/lbt_1x16_fm/_search [sd],57,0,78,185.77421280701728,18.065458999998896,1070.97125,1758.1052631578948,0.9639942055509757,0.0,78,120,150,170,540,990,1000,1100,1100,1100,1100
POST,/lbt_1x16_fm/_search [sgg],56,0,92,198.8410796428569,18.036791000000107,1194.544167,21755.553571428572,0.9470820265062216,0.0,100,130,180,210,590,890,1100,1200,1200,1200,1200
,Aggregated,169,0,100.0,205.57085855029584,18.036791000000107,1242.5388750000002,109402.37869822486,2.858158258563419,0.0,100,150,180,290,550,990,1100,1200,1200,1200,1200
